structure,x,z,coordinate_kind
mineshaft_center,35720,27272,block_center
mineshaft_chunk,2232,2296,chunk
mineshaft_center,35720,36744,block_center
mineshaft_chunk,2248,664,chunk
mineshaft_center,35976,10632,block_center
mineshaft_chunk,2264,1704,chunk
mineshaft_center,36232,27272,block_center
mineshaft_chunk,2280,-568,chunk
mineshaft_center,36488,-9080,block_center
mineshaft_chunk,2280,648,chunk
mineshaft_center,36488,10376,block_center
mineshaft_chunk,2280,840,chunk
mineshaft_center,36488,13448,block_center
mineshaft_chunk,2296,568,chunk
mineshaft_center,36744,9096,block_center
mineshaft_chunk,2312,-1640,chunk
mineshaft_center,37000,-26232,block_center
mineshaft_chunk,2312,-120,chunk
mineshaft_center,37000,-1912,block_center
mineshaft_chunk,2328,-376,chunk
mineshaft_center,37256,-6008,block_center
mineshaft_chunk,2360,2296,chunk
mineshaft_center,37768,36744,block_center
mineshaft_chunk,2376,-2408,chunk
mineshaft_center,38024,-38520,block_center
mineshaft_chunk,2392,152,chunk
mineshaft_center,38280,2440,block_center
mineshaft_chunk,2392,1272,chunk
mineshaft_center,38280,20360,block_center
mineshaft_chunk,2408,1432,chunk
mineshaft_center,38536,22920,block_center
mineshaft_chunk,2440,-2520,chunk
mineshaft_center,39048,-40312,block_center
mineshaft_chunk,2456,-1816,chunk
mineshaft_center,39304,-29048,block_center
mineshaft_chunk,2536,-1544,chunk
mineshaft_center,40584,-24696,block_center
mineshaft_chunk,2552,1608,chunk
mineshaft_center,40840,25736,block_center
